Module,Code_Course,Course_name,Institute,Location,Type_Course,Start_Date,End_Date,Duration,Year
"Technical Skill ( Job Family )",Other,"ISO45001:2018 Requirement and Implementation (Manager Level)","อ.กัมปนาท วิริยานุภาพพงศ์","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,,,,
"Technical Skill ( Job Family )",Other,"Management of Change (MOC)","อ.กัมปนาท วิริยานุภาพพงศ์","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,,,,
"Leadership Skill ( Managerial Competency )",MC-TL-001-1,"Leadership Development Program","หน่วยงาน HR&TMA",รร.เมเปิล,EXT,2013-03-02,2013-03-23,3,2013
"Functional - Competency Skill",FC-COQ-002,"การทบทวน 5ส ยุคใหม่ และวิธีการนำไปปฏิบัตืในแนวใหม่","บ.ลีด อะเซ็สเมนท์ แอนด์ คอนซัลแตนท์ จำกัด","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2014-01-20,2014-01-20,6h,2014
"Technical Skill ( Job Family )",Other,"Visual control and Poka Yoke","บ.ลีด อะเซ็สเมนท์ แอนด์ คอนซัลแตนท์ จำกัด","ห้องประชุม 2 อาคารสำนักงาน TMS",INT,2014-02-12,2014-02-12,1,2014
"Leadership Skill ( Managerial Competency )",MC-TL-001-1,"Managing people by using HR tools","TMA สมาคมการจัดการธุรกิจแห่งประเทศไทย","ห้องประชุม 2 อาคารสำนักงาน TMS",INT,2014-03-21,2014-03-22,2,2014
"Technical Skill ( Job Family )",Other,"การบำรุงรักษาทวีผลที่ทุกคนมีส่วนร่วม (TPM)",ม.ราชภัฎราชนครินทร์,ม.ราชภัฎราชนครินทร์,EXT,2014-04-25,2014-04-27,3,2014
Other,Other,"Process Safety Management ","NPC Safety And Environmental Service Co.,Ltd.","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2015-03-30,2015-04-01,3,2015
"Technical Skill ( Job Family )",Other,"ISO9001 , ISO14001 Version 2015 Change and Prepara","อ.กัมปนาท วิริยานุภาพพงศ์","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2015-05-26,2015-05-26,1,2015
"Technical Skill ( Job Family )",Other,"Practical TPM","TPM Consulting Service ","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2015-06-12,2015-06-19,2,2015
Other,Other,การจัดการพลังงานในโรงงานอุตสาหกรรม,กระทรวงพลังงาน,"รร.ทวาราวดี รีสอร์ท",EXT,2015-06-26,2015-06-26,1,2015
"Functional - Competency Skill",FC-COQ-002,"Kaizen System Training เช้า",สสท,"ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2015-07-24,2015-07-24,0.5,2015
"Technical Skill ( Job Family )",Other,"The explanation of the change of the TMSC document","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-01-11,2016-01-11,0.5,2016
"Technical Skill ( Job Family )",Other,"QCC (KAIZEN)",สสท,"ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-03-02,2016-03-08,2,2016
"Technical Skill ( Job Family )",Other,"บทบาทของผู้บริหาร เกี่ยวกับวินัยและการลงโทษทางวินั","บ.เอช อาร์ เซ็นเตอร์ จำกัด","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-04-30,2016-04-30,1,2016
Other,Other,"แนวทางในการจัดการความปลอดภัยกระบวนการผลิต (PSM) แล","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-07-14,2016-07-14,1,2016
"Technical Skill ( Job Family )",Other,"ISO9001:2015, ISO14001:2015, ISO45001:20XXX Requir","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-08-31,2016-08-31,1,2016
"Technical Skill ( Job Family )",Other,"ISO9001:2015, ISO14001:2015, ISO45001:20XXX Requir","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-09-06,2016-09-06,1,2016
"Technical Skill ( Job Family )",Other,"Risk Management for ISO9001(QMS), ISO14001(EMS), I","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2016-10-04,2016-10-04,1,2016
"Technical Skill ( Job Family )",Other,"การบริหารจัดการความสูญเสีย (Loss Management)",สสท,"ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-01-19,2017-01-19,1,2017
"Technical Skill ( Job Family )",Other,"Vacuum Pump","Fluid Advance (Thailand) Co.,Ltd.","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-03-30,2017-03-30,1,2017
"Technical Skill ( Job Family )",Other,"Briefing procedure of Risk Management (PR-MR-006)","อ.กัมปนาท ที่ปรึกษา ISO","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-04-10,2017-04-10,0.5,2017
"Technical Skill ( Job Family )",Other,"Steam Boiler","บ.Hunsa International Co.,Ltd.","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-04-27,2017-04-27,1,2017
"Technical Skill ( Job Family )",Other,IA-Compressor,บ.ASCG,"ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-06-15,2017-06-15,1,2017
"Technical Skill ( Job Family )",Other,"Knowledge sharing ""Engineering section job scope""","คุณอิทธิพล แก่งสันเทียะ","ห้องประชุม 2",INT,2017-07-07,2017-07-07,1.5h,2017
"Leadership Skill ( Managerial Competency )",MC-TL-001-1,"Positive Psychology for Leadership (Manager Level)","บ.ศูนย์พัฒนากลยุทธ์ทางธุรกิจ จำกัด","วิจิตราธานี สปอร์ตคลับ",INT,2017-08-22,2017-08-22,1,2017
"Technical Skill ( Job Family )",Other,"Mechanical Seal","บ.Eagle Burgmann จำกัด","ห้องสัมมนาชั้น 2 อาคารสำนักงาน",INT,2017-09-15,2017-09-15,1,2017
