Training_set,Module,Code_Course,Code_Name
"Training Set 114","Basic Skill",IT-001,"Progress Database Admin"
"Training Set 114","Basic Skill",IT-003,"MFG/PRO Manager Function"
"Training Set 114","Basic Skill",IT-004,"MFG/PRO System Admin"
"Training Set 114","Basic Skill",IT-006,"MFG/PRO Overview"
"Training Set 114","Basic Skill",IT-007,"PROGRESS Programming fundamental"
"Training Set 114","Basic Skill",IT-008,"PROGRESS Programming Advance"
"Training Set 114","Basic Skill",IT-009,"Customization MFG/PRO"
"Training Set 114","Core - Competency Skill",CC-ACH-001,"Achievement Orientation"
"Training Set 114","Core - Competency Skill",CC-AT-002,"Analytical Thinking"
"Training Set 114","Core - Competency Skill",CC-CL-003,"Change Leadership"
"Training Set 114","Core - Competency Skill",CC-CSO-004,"Customer Service Orientation"
"Training Set 114","Core - Competency Skill",CC-INT-005,Initiatieve
"Training Set 114","Core - Competency Skill",CC-TW-006,"Teamwork and cooperation "
"Training Set 114","Functional - Competency Skill",FC-COQ-002,"Concern for Ordeer and Quality"
"Training Set 114","Functional - Competency Skill",FC-CT-001,"Conceptual Thinking"
"Training Set 114","Functional - Competency Skill",FC-INF-004,"Information Seeking"
"Training Set 114","Leadership Skill ( Managerial Competency )",MC-TL-001-1," - Positive psychology for leadership"
"Training Set 114","Leadership Skill ( Managerial Competency )",MC-TL-001-2," - Problem solving & decision making"
"Training Set 114","Leadership Skill ( Managerial Competency )",MC-TL-001-3," - Emotional intelligence for leadership"
"Training Set 114","SHE & Q Skill",SHE-001,"การอบรมดับเพลิงขั้นต้น ( Basic Fire Fighting ) "
"Training Set 114","SHE & Q Skill",SHE-002,ความรู้เรื่องความปลอดภัยในการทำงานสำหรับพนักงานใหม
"Training Set 114","SHE & Q Skill",SHE-004,"เจ้าหน้าที่ความปลอดภัยในการทำงานระดับหัวหน้างาน (S"
"Training Set 114","Technical Skill ( Job Family )",TC-027,"ทักษะการจัดการระบบเครือข่ายเทคโนโลยีสารสนเทศ 
(Inf"
"Training Set 114","Technical Skill ( Job Family )",TC-028,"ทักษะการจัดการระบบปฎิบัติการ เซิร์ฟเวอร์ และฮาร์ดแ"
"Training Set 114","Technical Skill ( Job Family )",TC-031,"ทักษะการบริหารจัดการโครงการด้าน IT
(Project Manage"
"Training Set 114","Technical Skill ( Job Family )",TC-035,"ทักษะการพัฒนาแอปพลิเคชั่น/โปรแกรม 
(Application & "
"Training Set 114","Technical Skill ( Job Family )",TC-040,"ทักษะการออกแบบและบริหารจัดการฐานข้อมูล 
(Database "
